Star,Type,Mass (M☉),Luminosity (L☉),Temperature (K),Distance (Pc)
Proxima Centauri,Red Dwarf,0.12,0.0017,3042,1.29998824
Sirius A,Main Sequence,2.02,25.4,9940,2.6367686
Betelgeuse,Red Supergiant,11.6,126000.0,3500,196.837842
Vega,Main Sequence,2.1,40.12,9602,7.68035505
Rigel,Blue Supergiant,17.0,120000.0,12100,263.67686000000003
Alpha Centauri A,Main Sequence,1.1,1.519,5790,1.33984637
Deneb,Blue Supergiant,19.0,196000.0,8525,797.1626
Arcturus,Red Giant,1.08,170.0,4286,11.252256700000002
Capella Aa,Yellow Giant,2.57,78.7,4940,13.153182900000001
Spica,Binary System,10.25,12100.0,25400,76.65025
